,rtt
1305,161378.0
1306,167001.0
1307,148622.5
1308,162159.5
1309,131702.0
1310,121960.5
1311,123873.5
1312,141898.5
1313,206042.0
1314,203610.5
1315,90978.0
1316,90752.0
1317,165842.5
1318,182316.5
1319,164066.0
1320,173399.0
1321,141700.5
1322,123054.0
1323,204499.5
1324,145907.5
1325,144947.5
1326,162016.0
1327,174999.0
1328,170586.0
1329,162000.0
1330,146516.5
1331,121910.5
1332,177352.5
1333,175523.5
1334,160985.5
1335,161945.5
1336,171571.5
1337,163298.0
1338,169208.5
1339,117481.5
1340,152915.0
1341,184935.5
1342,147696.5
1343,147578.0
1344,131074.0
1345,148528.0
1346,169669.5
1347,125013.0
1348,150231.5
1349,182430.5
1350,152888.5
1351,114426.0
1352,127804.0
1353,181559.0
1354,167908.5
1355,162163.5
1356,47804.5
1357,87505.5
1358,48372.0
1359,46138.0
1360,40429.0
1361,33984.5
1362,39741.0
1363,122882.5
1364,141358.0
1365,119726.5
1366,145058.0
1367,153680.5
1368,170358.5
1369,165853.0
1370,157960.0
1371,72697.0
1372,83213.5
1373,115166.0
1374,131733.0
1375,36977.0
1376,42325.0
1377,114305.0
1378,85832.0
1379,38129.5
1380,41454.5
1381,37526.5
1382,162304.0
1383,34010.0
1384,35709.5
1385,53863.0
1386,37995.5
1387,129095.5
1388,156432.0
1389,169107.0
1390,166799.5
1391,72122.0
1392,133395.0
1393,115102.5
1394,139929.5
1395,190975.5
1396,71237.5
1397,65447.5
1398,41941.5
1399,37834.0
1400,153023.0
1401,76094.0
1402,46414.0
1403,105272.0
1404,138094.5
1405,129866.0
1406,91998.0
1407,85169.5
1408,44700.0
1409,149242.0
1410,144645.5
1411,152275.5
1412,102174.0
1413,123298.5
1414,103190.5
1415,34329.5
1416,71516.5
1417,35237.0
1418,32049.5
1419,28507.5
1420,27544.5
1421,25088.0
1422,76635.5
1423,59691.5
1424,26817.0
1425,57817.0
1426,71967.0
1427,78511.5
1428,38940.0
1429,33861.0
1430,78279.0
1431,76298.5
1432,149956.5
1433,129199.5
1434,126155.0
1435,116820.5
1436,122369.0
1437,134266.5
1438,133087.5
1439,39070.0
1440,29067.0
1441,28018.5
1442,42484.0
1443,34081.5
1444,30446.0
1445,26938.5
1446,74453.5
1447,63321.5
