,rtt
1461,79633.0
1462,39746.0
1463,41953.0
1464,33026.5
1465,25197.0
1466,32006.5
1467,32617.0
1468,35212.0
1469,32833.5
1470,29271.0
1471,32918.5
1472,38850.0
1473,24858.0
1474,78250.0
1475,33816.5
1476,41506.5
1477,34090.0
1478,34961.0
1479,33836.5
1480,32498.5
1481,31630.0
1482,36009.5
1483,31798.0
1484,38338.5
1485,85986.5
1486,32876.5
1487,41998.5
1488,40936.5
1489,34874.5
1490,33020.0
1491,33225.0
1492,27266.5
1493,35023.0
1494,87065.5
1495,32545.5
1496,39887.0
1497,24137.0
1498,34166.5
1499,28915.5
1500,34044.5
1501,36110.5
1502,34396.0
1503,33358.0
1504,32961.5
1505,31399.5
1506,32890.0
1507,36120.5
1508,33639.0
1509,45304.0
1510,34858.5
1511,55567.5
1512,25932.0
1513,26060.5
1514,41309.5
1515,36748.5
1516,32273.5
1517,34355.0
1518,44391.0
1519,40026.0
1520,80840.0
1521,22503.0
1522,37639.0
1523,36808.5
1524,33489.0
1525,39115.5
1526,35022.5
1527,33857.5
1528,34687.0
1529,29310.5
1530,32113.0
1531,81283.5
1532,38461.5
1533,29311.5
1534,40088.0
1535,32692.5
1536,33677.5
1537,25057.0
1538,41812.5
1539,34007.0
1540,33778.5
1541,32477.0
1542,34166.0
1543,33994.0
1544,40037.5
1545,77895.0
1546,32450.0
1547,29259.0
1548,49974.5
1549,34365.0
1550,32985.5
1551,32428.0
1552,33369.0
1553,22625.5
1554,80475.5
1555,33591.0
1556,33903.5
1557,35165.0
1558,41149.5
1559,32655.5
1560,33229.0
1561,33280.5
1562,33152.0
1563,34854.0
1564,59687.5
1565,33937.5
1566,31100.5
1567,36539.5
1568,26065.5
1569,33668.5
1570,32607.0
1571,33700.5
1572,33531.5
1573,42554.0
1574,29144.5
1575,33329.5
1576,25542.5
1577,43166.0
1578,36317.0
1579,34415.5
1580,77597.0
1581,36799.5
1582,63590.0
1583,37345.0
1584,27086.5
1585,35502.0
1586,40634.0
1587,22396.5
1588,15840.0
1589,12977.5
1590,57538.5
1591,21295.0
1592,13402.0
1593,13268.5
1594,13468.0
1595,22911.5
1596,15412.0
1597,15635.0
1598,17096.5
1599,16027.5
1600,21042.0
1601,15317.0
1602,66869.5
1603,17242.5
1604,21876.0
1605,15499.5
1606,15673.0
1607,15568.0
1608,16387.0
1609,17507.0
1610,24107.0
1611,16722.0
1612,17052.0
1613,16321.5
1614,21093.0
1615,25440.5
1616,3814.0
1617,66634.0
1618,59154.0
1619,17673.5
1620,11782.0
1621,13330.0
1622,12236.5
1623,21373.5
1624,15615.0
1625,13973.5
1626,14103.0
1627,15334.5
1628,56812.5
1629,17421.5
1630,15825.5
1631,13858.5
1632,14162.5
1633,22542.0
1634,11262.0
1635,16237.0
1636,4881.0
1637,64346.0
1638,31067.5
1639,15326.0
1640,57209.0
1641,14200.0
1642,14771.5
1643,23003.0
1644,15364.5
1645,15357.5
1646,16663.5
1647,15442.5
1648,22573.5
1649,15637.5
1650,5022.0
1651,74145.5
1652,22899.5
1653,12527.5
1654,7798.5
1655,13829.0
1656,12818.5
1657,25787.5
1658,15529.0
1659,14991.5
1660,13369.0
1661,19225.5
1662,13945.0
1663,12549.0
1664,11595.5
1665,28086.5
1666,4927.0
1667,38625.0
1668,32026.5
1669,32627.5
1670,31278.0
1671,36295.0
1672,27353.0
1673,27157.5
1674,27900.5
1675,33115.5
1676,50604.5
1677,38510.5
1678,34324.5
1679,25460.0
1680,22234.5
1681,33964.5
1682,35529.0
1683,37030.5
1684,35014.0
1685,33589.0
1686,40471.0
1687,34073.0
1688,26997.5
1689,33550.5
1690,57602.0
1691,31276.5
1692,30926.0
1693,56244.0
1694,32753.5
1695,38964.0
1696,26887.0
1697,37174.0
1698,40095.5
1699,34432.0
1700,51579.5
1701,30490.5
1702,33706.0
1703,40241.5
1704,22802.0
1705,30950.0
1706,31312.0
1707,40859.5
1708,36520.5
1709,33487.5
1710,54113.0
1711,33110.5
1712,38427.0
1713,34632.5
1714,33856.5
1715,19358.0
1716,39255.0
1717,60548.5
1718,33061.5
1719,43880.5
1720,31396.0
1721,38920.5
1722,33409.0
1723,35108.5
1724,31715.0
1725,62404.5
1726,33038.5
1727,33767.0
1728,25740.5
1729,31817.0
1730,32672.5
1731,36605.0
1732,57815.5
1733,33222.0
1734,34311.0
1735,41949.5
1736,26475.5
1737,32300.0
1738,33196.0
1739,32999.0
1740,16285.5
1741,26592.0
1742,32818.5
1743,32029.5
1744,21953.0
1745,61101.5
1746,32916.0
1747,58040.0
1748,53211.0
1749,54666.5
1750,33833.0
1751,35137.5
1752,30472.5
1753,34275.5
1754,24409.0
1755,32394.5
1756,52031.0
1757,66708.0
1758,54882.0
1759,33776.0
1760,33447.0
1761,18145.5
1762,39016.5
1763,22142.0
1764,33515.0
1765,54903.0
1766,56727.5
1767,31396.5
1768,51307.5
1769,52063.5
1770,33404.5
1771,43198.5
1772,35519.0
1773,33668.0
1774,52030.0
1775,58345.0
1776,50376.5
1777,61181.5
1778,55124.0
1779,35895.0
1780,39442.5
1781,52437.0
1782,60034.5
1783,47648.5
1784,55861.0
1785,53702.0
1786,50043.0
1787,58859.0
1788,49814.0
1789,58968.5
1790,51311.5
1791,31809.0
1792,30764.0
1793,38776.0
1794,32261.5
1795,31605.5
1796,30521.5
1797,57496.0
1798,57758.0
1799,56588.5
1800,30326.5
1801,52339.5
1802,44776.0
1803,36784.5
1804,28826.0
1805,34521.5
1806,40821.0
1807,63322.5
1808,27457.5
1809,49282.0
1810,34374.5
1811,56688.5
1812,33961.0
1813,21015.0
1814,33688.5
1815,42488.5
1816,22771.5
1817,34772.5
1818,41733.0
1819,34496.5
1820,31434.0
1821,54978.0
1822,42033.5
1823,34582.5
1824,27519.5
1825,28462.5
1826,31149.0
1827,40481.0
1828,34766.5
1829,79583.0
1830,32986.0
1831,36711.5
1832,24500.0
1833,41690.5
1834,28606.5
1835,33499.0
1836,33065.0
1837,42246.5
1838,36543.0
1839,33417.5
1840,84737.0
1841,38565.5
1842,32214.5
1843,35435.5
1844,32406.0
1845,33166.0
1846,37022.5
1847,35423.0
1848,27084.5
1849,82108.0
1850,35807.0
1851,37009.0
1852,37763.0
1853,38985.0
1854,41677.0
1855,73969.0
1856,25113.0
1857,35395.5
1858,42249.5
1859,43095.0
1860,33356.5
1861,34657.5
1862,64192.0
1863,43358.0
1864,31671.0
1865,20651.5
1866,32195.0
1867,32124.0
1868,37557.5
1869,34412.0
